num,seccion,tabla,campo,grupo,campo_gp,tabla_gp,transformar,observaciones,terminado
1,actividad,actividad,id,2,,,2,tabla obsoleta,1
1,actividad,actividad,seguido_por_id,2,,,2,tabla obsoleta,1
1,actividad,actividad,fecha_hora,2,,,2,tabla obsoleta,1
1,actividad,actividad,tipo_id,2,,,2,tabla obsoleta,1
1,actividad,actividad,objeto_disparador_id,2,,,2,tabla obsoleta,1
1,actividad,actividad,objeto_seguido_id,2,,,2,tabla obsoleta,1
1,actividad,actividad,objeto_seguido_content_type_id,2,,,2,tabla obsoleta,1
1,actividad,actividad,objeto_disparador_content_type_id,2,,,2,tabla obsoleta,1
2,actividad,siguea,id,2,,,2,tabla obsoleta,1
2,actividad,siguea,seguido_type_id,2,,,2,tabla obsoleta,1
2,actividad,siguea,seguido_id,2,,,2,tabla obsoleta,1
2,actividad,siguea,seguidor_id,2,,,2,tabla obsoleta,1
2,actividad,siguea,fecha_hora ,2,,,2,tabla obsoleta,1
3,actividad,tipoactividad,id,2,,,2,tabla obsoleta,1
3,actividad,tipoactividad,nombre,2,,,2,tabla obsoleta,1
4,auth,group_permissions,id,2,,,2,tabla obsoleta,1
4,auth,group_permissions,group_id,2,,,2,tabla obsoleta,1
4,auth,group_permissions,permission_id,2,,,2,tabla obsoleta,1
5,auth,group,id,2,,,2,tabla obsoleta,1
5,auth,group,name,2,,,2,tabla obsoleta,1
6,auth,message,id,2,,,2,tabla obsoleta,1
6,auth,message,user_id,2,,,2,tabla obsoleta,1
6,auth,message,message,2,,,2,tabla obsoleta,1
7,auth,permission,id,2,,,2,tabla obsoleta,1
7,auth,permission,name,2,,,2,tabla obsoleta,1
7,auth,permission,content_type_id,2,,,2,tabla obsoleta,1
7,auth,permission,codename,2,,,2,tabla obsoleta,1
8,auth,user_groups,id,2,,,2,tabla obsoleta,1
8,auth,user_groups,user_id,2,,,2,tabla obsoleta,1
8,auth,user_groups,group_id,2,,,2,tabla obsoleta,1
9,auth,user_user_permissions,id,2,,,2,tabla obsoleta,1
9,auth,user_user_permissions,user_id,2,,,2,tabla obsoleta,1
9,auth,user_user_permissions,permission_id,2,,,2,tabla obsoleta,1
10,auth,user,id,2,,,2,tabla obsoleta,1
10,auth,user,username,2,,,2,tabla obsoleta,1
10,auth,user,first_name,2,,,2,tabla obsoleta,1
10,auth,user,last_name,2,,,2,tabla obsoleta,1
10,auth,user,email,2,,,2,tabla obsoleta,1
10,auth,user,password,2,,,2,tabla obsoleta,1
10,auth,user,is_staff,2,,,2,tabla obsoleta,1
10,auth,user,is_active,2,,,2,tabla obsoleta,1
10,auth,user,is_superuser,2,,,2,tabla obsoleta,1
10,auth,user,last_login,2,,,2,tabla obsoleta,1
10,auth,user,date_joined,2,,,2,tabla obsoleta,1
11,ayuda,ayudaseccion,id,2,,,2,tabla obsoleta,1
11,ayuda,ayudaseccion,orden,2,,,2,tabla obsoleta,1
11,ayuda,ayudaseccion,fecha_actualizacion,2,,,2,tabla obsoleta,1
11,ayuda,ayudaseccion,id_video_ayuda,2,,,2,tabla obsoleta,1
11,ayuda,ayudaseccion,regex_seccion,2,,,2,tabla obsoleta,1
11,ayuda,ayudaseccion,exacto,2,,,2,tabla obsoleta,1
12,ayuda,enlaceinteres,id,2,,,2,tabla obsoleta,1
12,ayuda,enlaceinteres,titulo,2,,,2,tabla obsoleta,1
12,ayuda,enlaceinteres,enlace,2,,,2,tabla obsoleta,1
12,ayuda,enlaceinteres,descripcion,2,,,2,tabla obsoleta,1
12,ayuda,enlaceinteres,seccion_id,2,,,2,tabla obsoleta,1
12,ayuda,enlaceinteres,orden,2,,,2,tabla obsoleta,1
13,ayuda,enlacesseccion,id,2,,,2,tabla obsoleta,1
13,ayuda,enlacesseccion,orden,2,,,2,tabla obsoleta,1
13,ayuda,enlacesseccion,regex_seccion,2,,,2,tabla obsoleta,1
14,ayuda,preguntarespuesta,id,2,,,2,tabla obsoleta,1
14,ayuda,preguntarespuesta,orden,2,,,2,tabla obsoleta,1
14,ayuda,preguntarespuesta,pregunta,2,,,2,tabla obsoleta,1
14,ayuda,preguntarespuesta,respuesta,2,,,2,tabla obsoleta,1
14,ayuda,preguntarespuesta,seccion_id,2,,,2,tabla obsoleta,1
15,blog,blog,id,2,id,contenido_multimedia,2,tabla obsoleta. Se les entregó una base de datos con todos los posts.,1
15,blog,blog,autor_id,2,persona_id,contenido_multimedia,2,tabla obsoleta,1
15,blog,blog,titulo,2,titulo,contenido_multimedia,2,tabla obsoleta,1
15,blog,blog,descripcion,2,contenido,contenido_multimedia,2,tabla obsoleta,1
15,blog,blog,tipo_blog_id,2,tipo_publicacion_id,contenido_multimedia,2,tabla obsoleta,1
15,blog,blog,destacado,2,destacado,contenido_multimedia,2,tabla obsoleta,1
16,blog,boletin,id,2,id,res_blog_boletin ,2,tabla obsoleta,1
16,blog,boletin,orden,2,orden,res_blog_boletin ,2,tabla obsoleta,1
16,blog,boletin,nombre,2,nombre,res_blog_boletin ,2,tabla obsoleta,1
16,blog,boletin,anio,2,anio,res_blog_boletin ,2,tabla obsoleta,1
16,blog,boletin,objeto,2,objeto,res_blog_boletin ,2,tabla obsoleta,1
16,blog,boletin,destacar,2,destacar,res_blog_boletin ,2,tabla obsoleta,1
16,blog,boletin,archivo,2,archivo,res_blog_boletin ,2,tabla obsoleta,1
17,blog,post_tags,id,2,,,2,tabla obsoleta,1
17,blog,post_tags,post_id,2,,,2,tabla obsoleta,1
17,blog,post_tags,tag_id,2,,,2,tabla obsoleta,1
18,blog,post,id,2,id,res_blog_post ,2,tabla obsoleta,1
18,blog,post,created_at,2,created_at,res_blog_post ,2,tabla obsoleta,1
18,blog,post,edited_at,2,updated_at,res_blog_post ,2,tabla obsoleta,1
18,blog,post,blog_id,2,blog_id,res_blog_post ,2,tabla obsoleta,1
18,blog,post,titulo,2,titulo,res_blog_post ,2,tabla obsoleta,1
18,blog,post,contenido,2,contenido,res_blog_post ,2,tabla obsoleta,1
18,blog,post,fecha_publicacion,2,fecha_publicacion,res_blog_post ,2,tabla obsoleta,1
18,blog,post,esta_publicado,2,esta_publicado,res_blog_post ,2,tabla obsoleta,1
18,blog,post,esta_vetado,2,,contenido_multimedia,2,tabla obsoleta,1
18,blog,post,destacado,2,,contenido_multimedia,2,tabla obsoleta,1
18,blog,post,imagen,2,imagen,res_blog_post ,2,tabla obsoleta,1
18,blog,post,imagen_menu,2,,contenido_multimedia,2,tabla obsoleta,1
18,blog,post,imagen_menu_seleccionada,2,,contenido_multimedia,2,tabla obsoleta,1
18,blog,post,ee,2,ee,res_blog_post ,2,tabla obsoleta,1
19,blog,tag,id,2,,,2,tabla obsoleta,1
19,blog,tag,nombre,2,,,2,tabla obsoleta,1
20,blog,tipoblog,id,3,id,res_blog_tipoblog ,2,tabla obsoleta,1
20,blog,tipoblog,nombre,3,nombre,res_blog_tipoblog ,2,tabla obsoleta,1
21,celery,periodictaskmeta,id,2,,,2,tabla obsoleta,1
21,celery,periodictaskmeta,name,2,,,2,tabla obsoleta,1
21,celery,periodictaskmeta,last_run_at,2,,,2,tabla obsoleta,1
21,celery,periodictaskmeta,total_run_count,2,,,2,tabla obsoleta,1
22,celery,taskmeta,id,2,,,2,tabla obsoleta,1
22,celery,taskmeta,task_id,2,,,2,tabla obsoleta,1
22,celery,taskmeta,status,2,,,2,tabla obsoleta,1
22,celery,taskmeta,result,2,,,2,tabla obsoleta,1
22,celery,taskmeta,date_done,2,,,2,tabla obsoleta,1
22,celery,taskmeta,traceback,2,,,2,tabla obsoleta,1
24,congreso,actividadpersona,id,2,,,2,tabla obsoleta,1
24,congreso,actividadpersona,created_at,2,,,2,tabla obsoleta,1
24,congreso,actividadpersona,edited_at,2,,,2,tabla obsoleta,1
24,congreso,actividadpersona,fecha_hora,2,,,2,tabla obsoleta,1
24,congreso,actividadpersona,persona_id,2,,,2,tabla obsoleta,1
24,congreso,actividadpersona,tipo_id,2,,,2,tabla obsoleta,1
24,congreso,actividadpersona,texto,2,,,2,tabla obsoleta,1
24,congreso,actividadpersona,content_type_id,2,,,2,tabla obsoleta,1
24,congreso,actividadpersona,object_id,2,,,2,tabla obsoleta,1
24,congreso,actividadpersona,periodo_id,2,,,2,tabla obsoleta,1
25,congreso,alianza,id,2,,,2,,1
25,congreso,alianza,created_at,2,,,2,,1
25,congreso,alianza,edited_at,2,,,2,,1
25,congreso,alianza,congresista_alianza_id,2,,,2,,1
25,congreso,alianza,congresista_alianza2_id,2,,,2,,1
25,congreso,alianza,periodo_id,2,,,2,,1
25,congreso,alianza,partido_id,2,,,2,,1
26,congreso,alianzapartido,id,2,,,2,,1
26,congreso,alianzapartido,created_at,2,,,2,,1
26,congreso,alianzapartido,edited_at,2,,,2,,1
26,congreso,alianzapartido,tiempo,2,,,2,,1
26,congreso,alianzapartido,partido_origen_id,2,,,2,,1
26,congreso,alianzapartido,partido_aliado_id,2,,,2,,1
27,congreso,aval,id,2,,,2,,1
27,congreso,aval,nombre,2,,,2,,1
28,congreso,bancada,id,2,,,2,,1
28,congreso,bancada,created_at,2,,,2,,1
28,congreso,bancada,edited_at,2,,,2,,1
28,congreso,bancada,nombre,2,,,2,,1
28,congreso,bancada,posicion,2,,,2,,1
29,congreso,camara,id,1,id,corporacions,,,1
29,congreso,camara,nombre,1,nombre,corporacions,,,1
30,congreso,campania_sectores,id,2,,,2,,1
30,congreso,campania_sectores,campania_id,2,,,2,,1
30,congreso,campania_sectores,sectorindustria_id,2,,,2,,1
31,congreso,campania,id,2,,,2,,1
31,congreso,campania,created_at,2,,,2,,1
31,congreso,campania,edited_at,2,,,2,,1
31,congreso,campania,congresista_id,2,,,2,,1
31,congreso,campania,partido_id,2,,,2,,1
31,congreso,campania,aspira,2,,,2,,1
31,congreso,campania,departamento_id,2,,,2,,1
31,congreso,campania,sitio_web,2,,,2,,1
31,congreso,campania,correo,2,,,2,,1
31,congreso,campania,propuestas,2,,,2,,1
31,congreso,campania,costo_total,2,,,2,,1
31,congreso,campania,circunscripcion,2,,,2,,1
31,congreso,campania,tipo_voto,2,,,2,,1
31,congreso,campania,formula_id,2,,,2,,1
31,congreso,campania,contacto_id,2,,,2,,1
31,congreso,campania,camara_id,2,,,2,,1
31,congreso,campania,periodo_id,2,,,2,,1
31,congreso,campania,inversion_dinero,2,,,2,,1
31,congreso,campania,financiacion_recursos_propios,2,,,2,,1
31,congreso,campania,financiacion_prestamos,2,,,2,,1
31,congreso,campania,financiacion_donaciones,2,,,2,,1
31,congreso,campania,financiacion_empresa_privada,2,,,2,,1
31,congreso,campania,fuente_financiacion_personas,2,,,2,,1
31,congreso,campania,circunscripcion_model_id,2,,,2,,1
31,congreso,campania,numero_lista,2,,,2,,1
32,congreso,candidatos_concejo,id,2,,,2,,1
32,congreso,candidatos_concejo,nombre_completo,2,,,2,,1
32,congreso,candidatos_concejo,nombres,2,,,2,,1
32,congreso,candidatos_concejo,apellidos,2,,,2,,1
32,congreso,candidatos_concejo,cedula,2,,,2,,1
32,congreso,candidatos_concejo,genero,2,,,2,,1
32,congreso,candidatos_concejo,telefono_candidato,2,,,2,,1
